,subject_n,visibility,reward,RT,FP,FP1,FP2,FP3,FP4,FP5
218,0,True,False,0.2829485257877811,0.9,0.3,0.9,0.3,0.9,0.3
219,0,True,False,0.32,0.6,0.9,0.3,0.9,0.3,0.9
220,0,True,False,0.32,0.3,0.6,0.9,0.3,0.9,0.3
221,0,True,False,0.32,0.9,0.3,0.6,0.9,0.3,0.9
222,0,True,False,0.33223449197071175,0.3,0.9,0.3,0.6,0.9,0.3
223,0,True,False,0.31279257636393726,0.3,0.3,0.9,0.3,0.6,0.9
224,0,True,False,0.32,0.3,0.3,0.3,0.9,0.3,0.6
225,0,True,False,0.32,0.3,0.3,0.3,0.3,0.9,0.3
226,0,True,False,0.32,0.3,0.3,0.3,0.3,0.3,0.9
227,0,True,False,0.2821806245544923,0.9,0.3,0.3,0.3,0.3,0.3
228,0,True,False,0.33175884845718057,0.3,0.9,0.3,0.3,0.3,0.3
229,0,True,False,0.32,0.9,0.3,0.9,0.3,0.3,0.3
230,0,True,False,0.32,0.9,0.9,0.3,0.9,0.3,0.3
231,0,True,False,0.33257083788948455,0.6,0.9,0.9,0.3,0.9,0.3
232,0,True,False,0.33218920727103884,0.6,0.6,0.9,0.9,0.3,0.9
233,0,True,False,0.32,0.6,0.6,0.6,0.9,0.9,0.3
234,0,True,False,0.32,0.9,0.6,0.6,0.6,0.9,0.9
235,0,True,False,0.33314105634083085,0.3,0.9,0.6,0.6,0.6,0.9
236,0,True,False,0.2825086032715797,0.6,0.3,0.9,0.6,0.6,0.6
237,0,True,False,0.32,0.3,0.6,0.3,0.9,0.6,0.6
238,0,True,False,0.3120654891354513,0.3,0.3,0.6,0.3,0.9,0.6
239,0,True,False,0.29318230776730747,0.3,0.3,0.3,0.6,0.3,0.9
240,0,False,True,0.32102651404983584,0.3,0.0,0.0,0.0,0.0,0.0
241,0,False,True,0.29000000000000004,0.6,0.3,0.0,0.0,0.0,0.0
242,0,False,True,0.34,0.3,0.6,0.3,0.0,0.0,0.0
243,0,False,True,0.29000000000000004,0.9,0.3,0.6,0.3,0.0,0.0
244,0,False,True,0.34,0.6,0.9,0.3,0.6,0.3,0.0
245,0,False,True,0.34,0.3,0.6,0.9,0.3,0.6,0.3
246,0,False,True,0.34,0.9,0.3,0.6,0.9,0.3,0.6
